guid/image/axis,value
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0000/x,-4.018654
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0000/y,-0.053295836
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0000/z,9.457383
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0001/x,-4.018654
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0001/y,-0.053295836
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0001/z,9.457383
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0002/x,-4.018654
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0002/y,-0.053295836
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0002/z,9.457383
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0003/x,-4.018654
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0003/y,-0.053295836
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0003/z,9.457383
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0004/x,-4.018654
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0004/y,-0.053295836
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0004/z,9.457383
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0005/x,-4.018654
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0005/y,-0.053295836
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0005/z,9.457383
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0006/x,-4.018654
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0006/y,-0.053295836
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0006/z,9.457383
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0007/x,-4.018654
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0007/y,-0.053295836
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0007/z,9.457383
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0008/x,-4.018654
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0008/y,-0.053295836
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0008/z,9.457383
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0009/x,-4.018654
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0009/y,-0.053295836
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0009/z,9.457383
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0010/x,-4.018654
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0010/y,-0.053295836
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0010/z,9.457383
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0011/x,-4.018654
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0011/y,-0.053295836
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0011/z,9.457383
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0012/x,-4.018654
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0012/y,-0.053295836
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0012/z,9.457383
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0013/x,-4.018654
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0013/y,-0.053295836
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0013/z,9.457383
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0014/x,-4.018654
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0014/y,-0.053295836
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0014/z,9.457383
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0015/x,-4.018654
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0015/y,-0.053295836
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0015/z,9.457383
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0016/x,-4.018654
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0016/y,-0.053295836
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0016/z,9.457383
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0017/x,-4.018654
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0017/y,-0.053295836
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0017/z,9.457383
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0018/x,-4.018654
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0018/y,-0.053295836
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0018/z,9.457383
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0019/x,-4.018654
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0019/y,-0.053295836
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0019/z,9.457383
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0020/x,-4.018654
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0020/y,-0.053295836
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0020/z,9.457383
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0021/x,-4.018654
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0021/y,-0.053295836
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0021/z,9.457383
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0022/x,-4.018654
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0022/y,-0.053295836
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0022/z,9.457383
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0023/x,-4.018654
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0023/y,-0.053295836
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0023/z,9.457383
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0024/x,-4.018654
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0024/y,-0.053295836
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0024/z,9.457383
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0025/x,-4.018654
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0025/y,-0.053295836
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0025/z,9.457383
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0026/x,-4.018654
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0026/y,-0.053295836
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0026/z,9.457383
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0027/x,-4.018654
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0027/y,-0.053295836
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0027/z,9.457383
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0028/x,-4.018654
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0028/y,-0.053295836
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0028/z,9.457383
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0029/x,-4.018654
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0029/y,-0.053295836
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0029/z,9.457383
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0030/x,-4.018654
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0030/y,-0.053295836
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0030/z,9.457383
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0031/x,-4.018654
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0031/y,-0.053295836
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0031/z,9.457383
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0032/x,-4.018654
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0032/y,-0.053295836
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0032/z,9.457383
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0033/x,-4.018654
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0033/y,-0.053295836
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0033/z,9.457383
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0034/x,-4.018654
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0034/y,-0.053295836
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0034/z,9.457383
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0035/x,-4.018654
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0035/y,-0.053295836
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0035/z,9.457383
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0036/x,-4.018654
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0036/y,-0.053295836
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0036/z,9.457383
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0037/x,-4.018654
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0037/y,-0.053295836
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0037/z,9.457383
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0038/x,-4.018654
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0038/y,-0.053295836
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0038/z,9.457383
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0039/x,-4.018654
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0039/y,-0.053295836
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0039/z,9.457383
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0040/x,-4.018654
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0040/y,-0.053295836
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0040/z,9.457383
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0041/x,-4.018654
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0041/y,-0.053295836
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0041/z,9.457383
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0042/x,-4.018654
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0042/y,-0.053295836
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0042/z,9.457383
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0043/x,-4.018654
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0043/y,-0.053295836
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0043/z,9.457383
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0044/x,-4.018654
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0044/y,-0.053295836
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0044/z,9.457383
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0045/x,-4.018654
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0045/y,-0.053295836
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0045/z,9.457383
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0046/x,-4.018654
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0046/y,-0.053295836
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0046/z,9.457383
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0047/x,-4.018654
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0047/y,-0.053295836
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0047/z,9.457383
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0048/x,-4.018654
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0048/y,-0.053295836
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0048/z,9.457383
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0049/x,-4.018654
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0049/y,-0.053295836
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0049/z,9.457383
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0050/x,-4.018654
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0050/y,-0.053295836
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0050/z,9.457383
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0051/x,-4.018654
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0051/y,-0.053295836
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0051/z,9.457383
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0052/x,-4.018654
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0052/y,-0.053295836
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0052/z,9.457383
0426de18-2865-4d4b-84e7-eac2f041e5c3/0000/x,-4.018654
0426de18-2865-4d4b-84e7-eac2f041e5c3/0000/y,-0.053295836
0426de18-2865-4d4b-84e7-eac2f041e5c3/0000/z,9.457383
0426de18-2865-4d4b-84e7-eac2f041e5c3/0001/x,-4.018654
0426de18-2865-4d4b-84e7-eac2f041e5c3/0001/y,-0.053295836
0426de18-2865-4d4b-84e7-eac2f041e5c3/0001/z,9.457383
0426de18-2865-4d4b-84e7-eac2f041e5c3/0002/x,-4.018654
0426de18-2865-4d4b-84e7-eac2f041e5c3/0002/y,-0.053295836
0426de18-2865-4d4b-84e7-eac2f041e5c3/0002/z,9.457383
0426de18-2865-4d4b-84e7-eac2f041e5c3/0003/x,-4.018654
0426de18-2865-4d4b-84e7-eac2f041e5c3/0003/y,-0.053295836
0426de18-2865-4d4b-84e7-eac2f041e5c3/0003/z,9.457383
0426de18-2865-4d4b-84e7-eac2f041e5c3/0004/x,-4.018654
0426de18-2865-4d4b-84e7-eac2f041e5c3/0004/y,-0.053295836
0426de18-2865-4d4b-84e7-eac2f041e5c3/0004/z,9.457383
0426de18-2865-4d4b-84e7-eac2f041e5c3/0005/x,-4.018654
0426de18-2865-4d4b-84e7-eac2f041e5c3/0005/y,-0.053295836
0426de18-2865-4d4b-84e7-eac2f041e5c3/0005/z,9.457383
0426de18-2865-4d4b-84e7-eac2f041e5c3/0006/x,-4.018654
0426de18-2865-4d4b-84e7-eac2f041e5c3/0006/y,-0.053295836
0426de18-2865-4d4b-84e7-eac2f041e5c3/0006/z,9.457383
0426de18-2865-4d4b-84e7-eac2f041e5c3/0007/x,-4.018654
0426de18-2865-4d4b-84e7-eac2f041e5c3/0007/y,-0.053295836
0426de18-2865-4d4b-84e7-eac2f041e5c3/0007/z,9.457383
0426de18-2865-4d4b-84e7-eac2f041e5c3/0008/x,-4.018654
0426de18-2865-4d4b-84e7-eac2f041e5c3/0008/y,-0.053295836
0426de18-2865-4d4b-84e7-eac2f041e5c3/0008/z,9.457383
0426de18-2865-4d4b-84e7-eac2f041e5c3/0009/x,-4.018654
0426de18-2865-4d4b-84e7-eac2f041e5c3/0009/y,-0.053295836
0426de18-2865-4d4b-84e7-eac2f041e5c3/0009/z,9.457383
0426de18-2865-4d4b-84e7-eac2f041e5c3/0010/x,-4.018654
0426de18-2865-4d4b-84e7-eac2f041e5c3/0010/y,-0.053295836
0426de18-2865-4d4b-84e7-eac2f041e5c3/0010/z,9.457383
0426de18-2865-4d4b-84e7-eac2f041e5c3/0011/x,-4.018654
0426de18-2865-4d4b-84e7-eac2f041e5c3/0011/y,-0.053295836
0426de18-2865-4d4b-84e7-eac2f041e5c3/0011/z,9.457383
0426de18-2865-4d4b-84e7-eac2f041e5c3/0012/x,-4.018654
0426de18-2865-4d4b-84e7-eac2f041e5c3/0012/y,-0.053295836
0426de18-2865-4d4b-84e7-eac2f041e5c3/0012/z,9.457383
0426de18-2865-4d4b-84e7-eac2f041e5c3/0013/x,-4.018654
0426de18-2865-4d4b-84e7-eac2f041e5c3/0013/y,-0.053295836
0426de18-2865-4d4b-84e7-eac2f041e5c3/0013/z,9.457383
